,windSpeed,waveHeight,waveTp,peakDeflection,peakDeflectionTower
109,5.0,0.76,5.26,10.3977,4.4384
110,5.4,0.7,4.17,1.1581,3.8274000000000004
111,5.8,0.7,4.17,1.0657,7.982499999999999
112,5.5,0.7,4.17,0.885,10.1259
113,6.3,0.7,4.17,1.7371999999999999,4.889
114,6.4,0.7,4.17,6.5901000000000005,6.300400000000001
115,7.3,0.7,4.17,7.0965,7.2683
116,5.3,0.7,4.17,3.7884,8.1663
117,7.2,0.7,4.17,1.8297,6.4775
118,7.1,0.7,4.17,2.1399999999999997,4.1450000000000005
119,6.5,0.7,4.17,3.1489000000000003,4.6438
120,6.4,0.7,4.17,3.318,5.5207
121,6.4,0.7,4.17,3.7615000000000003,6.5824
122,6.5,0.7,4.17,2.2773000000000003,10.2211
123,5.2,0.54,4.17,1.9463000000000001,11.9698
124,3.7,0.54,4.17,2.3396,9.8206
125,5.3,0.54,4.17,1.8398,8.0745
126,4.3,0.54,4.17,1.5325,11.0468
127,5.6,0.54,4.17,1.0948,12.278
128,4.4,0.54,4.17,1.2469,11.2508
129,5.0,0.54,4.17,1.5948,10.345
130,5.0,0.54,4.17,2.7924,9.5942
131,4.7,0.54,4.17,2.1233999999999997,8.4742
132,4.9,0.54,4.17,1.4729,8.6938
133,4.9,0.5,4.0,3.322,8.0659
134,5.0,0.5,4.0,2.4975,5.3042
135,3.7,0.5,4.0,2.3164000000000002,4.1138
136,4.8,0.5,4.0,2.6615,3.8941999999999997
137,5.7,0.5,4.0,4.1368,3.8284
138,4.1,0.5,4.0,4.4218,4.2865
139,3.3,0.5,4.0,8.0197,4.286700000000001
140,5.2,0.5,4.0,5.8463,4.6649
141,4.0,0.5,4.0,3.9911000000000003,2.9553
142,4.8,0.5,4.0,5.3404,3.9411
143,4.2,0.5,4.0,6.6091999999999995,4.7667
144,3.5,0.5,4.0,4.9881,3.6462000000000003
145,4.6,0.5,4.0,2.0402,2.2001
146,5.0,0.5,4.0,2.6393,3.6991000000000005
