Turbine,t_land,t_discon,dt_landed,epoch_land,epoch_discon,helihoist_ax_orientation,sbitroot_ax_orientation
22,2020-03-07T11:33:07,2020-03-07T12:32:35,00:59:28,1583573587.38367,1583577155.65033,-1,1
22,2020-03-14T04:38:45,2020-03-14T05:34:49,00:56:03,1584153525.901,1584156889.66767,1,1
22,2020-03-14T08:46:22,2020-03-14T10:08:34,01:22:11,1584168382.96,1584173314.09333,1,1
22,2020-03-25T10:24:25,2020-03-25T11:40:26,01:16:01,1585124665.20167,1585129226.80167,-1,1
24,2020-03-31T05:25:17,2020-03-31T07:12:02,01:46:45,1585625117.533,1585631522.99967,1,1
24,2020-03-31T10:00:00,2020-03-31T11:32:22,01:32:22,1585641600.49933,1585647142.99933,1,1
24,2020-03-31T14:56:21,2020-03-31T16:07:09,01:10:48,1585659381.46667,1585663629.96667,3,3
25,2020-04-17T10:09:51,2020-04-17T11:49:28,01:39:37,1587110991.153,1587116968.81967,3,3
25,2020-04-17T17:41:32,2020-04-17T20:12:24,02:30:52,1587138092.36733,1587147144.434,3,3
25,2020-04-17T23:57:42,2020-04-18T01:32:44,01:35:01,1587160662.644,1587166364.47733,3,3
